feature,importance
num__max_delay,0.40773124
num__severe_delay_count,0.120432034
num__pay_1,0.093247324
num__delinquency_count,0.042178765
num__avg_delay,0.019778524
num__utilization_recent,0.017811928
num__avg_pay_amt,0.017399842
num__avg_bill_amt,0.014979064
num__pay_amt_2,0.013108739
num__pay_2,0.012423597
num__pay_amt_1,0.012366332
num__limit_bal,0.012308097
num__bill_amt_1,0.0120119285
num__payment_to_bill_6m,0.0109992055
num__pay_amt_3,0.010762054
cat__limit_band_200K-500K,0.009715214
num__pay_amt_6,0.0096063195
cat__education_4,0.009150299
cat__marriage_2,0.009028826
cat__sex_1,0.008458307
num__bill_amt_2,0.007969877
cat__limit_band_50K-100K,0.007549438
cat__utilization_band_25%-50%,0.007246326
num__pay_3,0.0066639576
num__pay_6,0.006626714
num__bill_growth,0.006502576
num__bill_amt_5,0.006494578
num__payment_ratio_recent,0.0064336923
cat__sex_2,0.0062748464
cat__education_1,0.0060820566
num__bill_amt_4,0.0060416274
num__bill_amt_3,0.0056916378
cat__education_2,0.0055486886
num__pay_amt_4,0.005415141
num__bill_amt_6,0.005365275
num__pay_amt_5,0.0053531025
num__pay_4,0.005295668
num__age,0.005288878
cat__utilization_band_75%-100%,0.004721046
cat__marriage_1,0.0045822836
cat__age_group_40-49,0.00455678
cat__age_group_30-39,0.003683622
cat__limit_band_100K-200K,0.0036023136
cat__education_3,0.0035122768
cat__utilization_band_50%-75%,0.0
cat__utilization_band_100%+,0.0
cat__limit_band_<=50K,0.0
cat__age_group_60+,0.0
cat__limit_band_500K+,0.0
num__pay_5,0.0
cat__age_group_50-59,0.0
cat__age_group_20-29,0.0
cat__marriage_3,0.0
cat__utilization_band_<=25%,0.0
